SATELLITE NAME,US SATELLITE NUMBER,BREAKUP DATE,DEBRIS CATALOGED,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,Show,Message
ARGOS/ORSTED/SUN SAT R/B,25637,4/28/2014,8,840,635,96.5,UNKNOWN,DELTA 2 SECOND STAGE,FALSE,
COSMOS 2428,31792,5/10/2014,10,860,845,71,UNKNOWN,,FALSE,
PROGRESS-M 27M R/B,40620,4/28/2015,21,181,169,51.7,UNKNOWN,Soyuz 2.1a (3); separation with PROGRESS M-27M,FALSE,
SL-23 DEBRIS,37756,8/4/2015,1,3649,428,51.4,UNKNOWN,Fregat-SB SBB propellant tank,FALSE,
COSMOS 839,9011,9/29/1977,70,2100,980,65.9,BATTERY,,TRUE,BATTERY FAILURE
COSMOS 880,9601,11/27/1978,49,620,550,65.8,BATTERY,,TRUE,BATTERY FAILURE
COSMOS 1275,12504,7/24/1981,479,1015,960,83,BATTERY,,TRUE,BATTERY FAILURE
COSMOS 1375,13259,10/21/1985,61,1000,990,65.8,BATTERY,,TRUE,BATTERY FAILURE
COSMOS 1691 (1695),16139,11/22/1985,21,1415,1410,82.6,BATTERY,,TRUE,BATTERY FAILURE
COSMOS 1823,17535,12/17/1987,150,1525,1480,73.6,BATTERY,,TRUE,BATTERY FAILURE
USA 109 (DMSP 5D-2 F13),23533,2/3/2015,236,840,840,98.8,BATTERY,Operational at event time,TRUE,BATTERY FAILURE
IRIDIUM 33,24946,2/10/2009,628,780,775,86.4,"COLLISION, ACCIDENTAL",COLLIDED WITH COSMOS 2251,TRUE,COLLIDED WITH IRIDIUM 33
COSMOS 2251,22675,2/10/2009,1668,800,775,74,"COLLISION, ACCIDENTAL",COLLIDED WITH IRIDIUM 33,TRUE,COLLIDED WITH COSMOS 2251
SENTINEL 1A,39634,8/23/2016,8,698,696,98.2,"COLLISION, ACCIDENTAL",Solar array impact by small MMOD,TRUE,IMPACT WITH MICROMETEOROID OR ORBITAL DEBRIS
P-78/SOLWIND,11278,9/13/1985,285,545,515,97.6,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,TRUE,DESTROYED BY ANTI-SATELLITE WEAPON
FENGYUN 1C,25730,1/11/2007,3442,865,845,98.6,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,TRUE,DESTROYED BY ANTI-SATELLITE WEAPON
USA 193,29651,2/21/2008,175,255,245,58.5,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,TRUE,DESTROYED BY ANTI-SATELLITE WEAPON
MICROSAT-R,43947,3/27/2019,400,,,,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,TRUE,DESTROYED BY ANTI-SATELLITE WEAPON
COSMOS 249,3504,10/20/1968,108,2165,490,62.3,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
COSMOS 252,3530,11/1/1968,139,2140,535,62.3,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
COSMOS 374,4594,10/23/1970,99,2130,530,62.9,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
COSMOS 375,4598,10/30/1970,47,2100,525,62.8,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
COSMOS 397,4964,2/25/1971,116,2200,575,65.8,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
COSMOS 462,5646,12/3/1971,25,1800,230,65.7,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
COSMOS 886,9634,12/27/1976,76,2295,595,65.8,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
COSMOS 970,10531,12/21/1977,70,1140,945,65.8,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
COSMOS 1174,11765,4/18/1980,46,1660,380,66.1,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
COSMOS 1813,17297,1/29/1987,195,415,360,72.8,DELIBERATE,SELF-DESTRUCT,TRUE,DELIBERATE SELF-DESTRUCT
TRANSIT 4A R/B,118,6/29/1961,296,995,880,66.8,PROPULSION,ABLESTAR STAGE,TRUE,PROPULSION SYSTEM FAILURE
ATLAS CENTAUR 2,694,11/27/1963,19,1785,475,30.3,PROPULSION,CENTAUR STAGE,TRUE,PROPULSION SYSTEM FAILURE
OV2-1/LCS 2 R/B,1822,10/15/1965,473,790,710,32.2,PROPULSION,TITAN TRANSTAGE,TRUE,PROPULSION SYSTEM FAILURE
ESSA 8 (TOS F) R/B,3616,11/15/1973,18,1462,1413,101.6,PROPULSION,DELTA SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
