CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"64492423","2020-12-20 00:02:21.000000","Y","2020-12-22T16:58:22.194000","625","0.0002705089","4166","SOICAL (CYLINDER)","PAYLOAD","MEDIUM","5.00","5808","THOR ABLESTAR DEB","DEBRIS","SMALL","1.00"
"64492446","2020-12-20 00:02:34.000000","Y","2020-12-21T01:16:33.169000","26","0.0001777303","4912","THORAD AGENA D DEB","DEBRIS","SMALL","1.00","34997","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"64492575","2020-12-20 00:10:37.000000","Y","2020-12-20T03:39:34.273000","4036","","12309","ESIAFI 1 (COMSTAR 4)","PAYLOAD","LARGE","0.00","16199","COSMOS 1700","PAYLOAD","LARGE","0.00"
"64492625","2020-12-20 00:02:23.000000","Y","2020-12-22T20:53:32.392000","41","0.004339165","13148","COSMOS 1354","PAYLOAD","LARGE","5.00","19039","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"64492836","2020-12-20 00:10:34.000000","Y","2020-12-20T03:39:34.273000","4036","","16199","COSMOS 1700","PAYLOAD","LARGE","0.00","12309","ESIAFI 1 (COMSTAR 4)","PAYLOAD","LARGE","0.00"
"64492932","2020-12-20 00:02:22.000000","Y","2020-12-22T20:53:32.392000","41","0.004339165","19039","SL-8 R/B","ROCKET BODY","LARGE","3.00","13148","COSMOS 1354","PAYLOAD","LARGE","5.00"
"64493620","2020-12-20 00:02:41.000000","Y","2020-12-20T17:38:49.027000","182","0.0002311601","25320","IRIDIUM 71","PAYLOAD","LARGE","5.00","38232","IRIDIUM 33 DEB","DEBRIS","SMALL","1.00"
"64493625","2020-12-20 00:02:38.000000","Y","2020-12-20T06:12:48.249000","436","0.0001048106","25394","RESURS O1-N4","PAYLOAD","LARGE","5.00","37022","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64493629","2020-12-20 00:02:41.000000","Y","2020-12-20T09:22:12.290000","387","0.0002726255","25395","FASAT B","PAYLOAD","MEDIUM","5.00","38517","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64494474","2020-12-20 00:02:46.000000","Y","2020-12-21T09:21:11.884000","85","0.000148244","29199","METEOR 2-6 DEB","DEBRIS","SMALL","1.00","41668","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"64494608","2020-12-20 00:02:40.000000","Y","2020-12-22T19:37:11.975000","54","0.0001784431","30388","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","37796","SL-24 DEB","DEBRIS","LARGE","1.00"
"64494610","2020-12-20 00:02:37.000000","Y","2020-12-21T01:20:13.911000","62","0.0003940323","30758","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","36200","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64494611","2020-12-20 00:02:41.000000","Y","2020-12-21T08:05:41.507000","96","0.0003381898","30765","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","38299","CZ-2D DEB","DEBRIS","SMALL","1.00"
"64494745","2020-12-20 00:02:41.000000","Y","2020-12-21T15:46:43.390000","48","0.0006205227","31620","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","38533","METEOR 1-27 DEB","DEBRIS","SMALL","1.00"
"64495105","2020-12-20 00:02:33.000000","Y","2020-12-20T12:06:53.719000","97","0.000451132","34086","IRIDIUM 33 DEB","DEBRIS","SMALL","1.00","34685","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"64495212","2020-12-20 00:02:33.000000","Y","2020-12-20T12:06:53.719000","97","0.000451132","34685","COSMOS 2251 DEB","DEBRIS","SMALL","1.00","34086","IRIDIUM 33 DEB","DEBRIS","SMALL","1.00"
"64495238","2020-12-20 00:02:21.000000","Y","2020-12-21T01:16:33.169000","26","0.0001777303","34997","COSMOS 2251 DEB","DEBRIS","SMALL","1.00","4912","THORAD AGENA D DEB","DEBRIS","SMALL","1.00"
"64495342","2020-12-20 00:02:28.000000","Y","2020-12-21T01:20:13.911000","62","0.0003940323","36200","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","30758","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64495573","2020-12-20 00:11:20.000000","Y","2020-12-22T15:11:56.152000","4892","","37778","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00","37934","BREEZE-M R/B","ROCKET BODY","LARGE","0.00"
"64495581","2020-12-20 00:02:27.000000","Y","2020-12-22T19:37:11.975000","54","0.0001784431","37796","SL-24 DEB","DEBRIS","LARGE","1.00","30388","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64495614","2020-12-20 00:11:19.000000","Y","2020-12-22T15:11:56.152000","4892","","37934","BREEZE-M R/B","ROCKET BODY","LARGE","0.00","37778","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00"
"64495683","2020-12-20 00:02:28.000000","Y","2020-12-21T08:05:41.507000","96","0.0003381898","38299","CZ-2D DEB","DEBRIS","SMALL","1.00","30765","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64495689","2020-12-20 00:02:30.000000","Y","2020-12-21T15:46:43.390000","48","0.0006205227","38533","METEOR 1-27 DEB","DEBRIS","SMALL","1.00","31620","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64496546","2020-12-20 00:02:26.000000","Y","2020-12-21T09:21:11.884000","85","0.000148244","41668","NOAA 16 DEB","DEBRIS","SMALL","1.00","29199","METEOR 2-6 DEB","DEBRIS","SMALL","1.00"
"64560182","2020-12-20 10:39:58.000000","Y","2020-12-22T19:37:21.712000","146","0.007656381","2847","TIMATION 1","PAYLOAD","MEDIUM","5.00","82873","UNKNOWN","UNKNOWN","","3.00"
"64560201","2020-12-20 10:39:48.000000","Y","2020-12-21T01:16:33.160000","28","0.0001961369","4912","THORAD AGENA D DEB","DEBRIS","SMALL","1.00","34997","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"64560306","2020-12-20 10:39:56.000000","Y","2020-12-22T20:53:32.403000","117","0.003549998","13148","COSMOS 1354","PAYLOAD","LARGE","5.00","19039","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"64560428","2020-12-20 10:39:57.000000","Y","2020-12-22T20:53:32.403000","117","0.003549998","19039","SL-8 R/B","ROCKET BODY","LARGE","3.00","13148","COSMOS 1354","PAYLOAD","LARGE","5.00"
"64560567","2020-12-20 10:40:03.000000","Y","2020-12-20T17:38:49.019000","194","0.0002204054","25320","IRIDIUM 71","PAYLOAD","LARGE","5.00","38232","IRIDIUM 33 DEB","DEBRIS","SMALL","1.00"
"64560575","2020-12-20 10:39:49.000000","Y","2020-12-23T08:24:22.232000","51","0.0001504377","25407","SL-16 R/B","ROCKET BODY","LARGE","3.00","41128","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"64560930","2020-12-20 10:39:53.000000","Y","2020-12-21T09:21:11.885000","82","0.0001396537","29199","METEOR 2-6 DEB","DEBRIS","SMALL","1.00","41668","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"64560975","2020-12-20 10:39:48.000000","Y","2020-12-21T02:05:57.791000","35","0.0002935036","30164","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","30602","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64560980","2020-12-20 10:39:52.000000","Y","2020-12-22T19:37:11.972000","67","0.0001506977","30388","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","37796","SL-24 DEB","DEBRIS","LARGE","1.00"
"64560982","2020-12-20 10:39:48.000000","Y","2020-12-21T02:05:57.791000","35","0.0002935036","30602","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","30164","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64560984","2020-12-20 10:39:50.000000","Y","2020-12-21T01:20:13.913000","59","0.0003966035","30758","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","36200","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64560985","2020-12-20 10:39:48.000000","Y","2020-12-21T08:05:41.526000","29","0.0008414265","30765","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","38299","CZ-2D DEB","DEBRIS","SMALL","1.00"
"64561130","2020-12-20 10:39:48.000000","Y","2020-12-21T15:46:43.410000","48","0.0005163785","31620","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","38533","METEOR 1-27 DEB","DEBRIS","SMALL","1.00"
"64561449","2020-12-20 10:39:50.000000","Y","2020-12-21T20:42:26.395000","61","0.0001257312","34006","COSMOS 2251 DEB","DEBRIS","SMALL","1.00","38060","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"64561474","2020-12-20 10:39:48.000000","Y","2020-12-21T01:16:33.160000","28","0.0001961369","34997","COSMOS 2251 DEB","DEBRIS","SMALL","1.00","4912","THORAD AGENA D DEB","DEBRIS","SMALL","1.00"
"64561541","2020-12-20 10:39:50.000000","Y","2020-12-21T01:20:13.913000","59","0.0003966035","36200","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","30758","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64561812","2020-12-20 10:39:52.000000","Y","2020-12-22T19:37:11.972000","67","0.0001506977","37796","SL-24 DEB","DEBRIS","LARGE","1.00","30388","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64561876","2020-12-20 10:39:51.000000","Y","2020-12-21T20:42:26.395000","61","0.0001257312","38060","COSMOS 2251 DEB","DEBRIS","SMALL","1.00","34006","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"64561879","2020-12-20 10:39:48.000000","Y","2020-12-21T08:05:41.526000","29","0.0008414265","38299","CZ-2D DEB","DEBRIS","SMALL","1.00","30765","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64561881","2020-12-20 10:39:48.000000","Y","2020-12-21T15:46:43.410000","48","0.0005163785","38533","METEOR 1-27 DEB","DEBRIS","SMALL","1.00","31620","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64562429","2020-12-20 10:39:49.000000","Y","2020-12-23T08:24:22.232000","51","0.0001504377","41128","NOAA 16 DEB","DEBRIS","SMALL","1.00","25407","SL-16 R/B","ROCKET BODY","LARGE","3.00"
"64562583","2020-12-20 10:39:54.000000","Y","2020-12-21T09:21:11.885000","82","0.0001396537","41668","NOAA 16 DEB","DEBRIS","SMALL","1.00","29199","METEOR 2-6 DEB","DEBRIS","SMALL","1.00"
"64571733","2020-12-20 12:09:54.000000","Y","2020-12-23T10:57:39.335000","4018","","23175","INTELSAT 2 (PAS 2)","PAYLOAD","LARGE","0.00","27820","AMC-9 (GE-12)","PAYLOAD","LARGE","0.00"
"64572312","2020-12-20 12:09:54.000000","Y","2020-12-23T10:57:39.335000","4018","","27820","AMC-9 (GE-12)","PAYLOAD","LARGE","0.00","23175","INTELSAT 2 (PAS 2)","PAYLOAD","LARGE","0.00"
"64622633","2020-12-20 16:06:46.000000","Y","2020-12-22T19:37:21.713000","131","0.009617625","2847","TIMATION 1","PAYLOAD","MEDIUM","5.00","82873","UNKNOWN","UNKNOWN","","3.00"
"64622648","2020-12-20 16:06:57.000000","Y","2020-12-22T16:58:22.194000","988","0.0001412297","4166","SOICAL (CYLINDER)","PAYLOAD","MEDIUM","5.00","5808","THOR ABLESTAR DEB","DEBRIS","SMALL","1.00"
"64622652","2020-12-20 16:06:44.000000","Y","2020-12-21T01:16:33.161000","28","0.0001194924","4912","THORAD AGENA D DEB","DEBRIS","SMALL","1.00","34997","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"64622747","2020-12-20 16:06:45.000000","Y","2020-12-22T20:53:32.402000","104","0.002687765","13148","COSMOS 1354","PAYLOAD","LARGE","5.00","19039","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"64622851","2020-12-20 16:06:45.000000","Y","2020-12-22T20:53:32.402000","104","0.002687765","19039","SL-8 R/B","ROCKET BODY","LARGE","3.00","13148","COSMOS 1354","PAYLOAD","LARGE","5.00"
