,SATELLITE NAME,US SATELLITE NUMBER,BREAKUP DATE,DEBRIS CATALOGED,ASSESSED CAUSE,ADDITIONAL INFORMATION,Show,Message,message,video_time_in_seconds
61,USA 73 (DMSP 5D2 F11),21798,2004-04-15,85,UNKNOWN,,True,UNKNOWN CAUSE,[April 2004]  USA 73 (DMSP 5D2 F11): UNKNOWN CAUSE (+85),180
62,COSMOS 2392 ULLAGE MOTOR,27474,2005-06-01,61,PROPULSION,PROTON-K BLOCK DM SOZ,True,PROPULSION SYSTEM FAILURE,[June 2005]  COSMOS 2392 ULLAGE MOTOR: PROPULSION SYSTEM FAILURE (+61),185
63,METEOR 2-17,18820,2005-06-21,45,UNKNOWN,,True,UNKNOWN CAUSE,[June 2005]  METEOR 2-17: UNKNOWN CAUSE (+45),185
64,COSMOS 1703 R/B,16263,2006-05-04,50,PROPULSION,TSYKLON THIRD STAGE,True,PROPULSION SYSTEM FAILURE,[May 2006]  COSMOS 1703 R/B: PROPULSION SYSTEM FAILURE (+50),188
65,ALOS-1 R/B,28932,2006-08-08,24,UNKNOWN,H-IIA SECOND STAGE,True,UNKNOWN CAUSE,[August 2006]  ALOS-1 R/B: UNKNOWN CAUSE (+24),189
66,DMSP 5D-3 F17 R/B,29523,2006-11-04,65,UNKNOWN,DELTA IV SECOND STAGE,True,UNKNOWN CAUSE,[November 2006]  DMSP 5D-3 F17 R/B: UNKNOWN CAUSE (+65),190
67,FENGYUN 1C,25730,2007-01-11,3442,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,True,DESTROYED BY ANTI-SATELLITE WEAPON,[January 2007]  FENGYUN 1C: DESTROYED BY ANTI-SATELLITE WEAPON (+3442),191
68,USA 193,29651,2008-02-21,175,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,True,DESTROYED BY ANTI-SATELLITE WEAPON,[February 2008]  USA 193: DESTROYED BY ANTI-SATELLITE WEAPON (+175),196
69,COSMOS 2421,29247,2008-03-14,509,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[March 2008]  COSMOS 2421: UNKNOWN CAUSE (+509),196
70,COSMOS 2251,22675,2009-02-10,1668,"COLLISION, ACCIDENTAL",COLLIDED WITH IRIDIUM 33,True,COLLIDED WITH IRIDIUM 33,[February 2009]  COSMOS 2251: COLLIDED WITH IRIDIUM 33 (+1668),200
71,IRIDIUM 33,24946,2009-02-10,628,"COLLISION, ACCIDENTAL",COLLIDED WITH COSMOS 2251,True,COLLIDED WITH COSMOS 2251,[February 2009]  IRIDIUM 33: COLLIDED WITH COSMOS 2251 (+628),200
72,TELKOM 3/ EXPRESS MD2 BRIZ-M R/B,38746,2012-10-16,113,PROPULSION,PROTON-K BRIZ-M STAGE,True,PROPULSION SYSTEM FAILURE,[October 2012]  TELKOM 3/ EXPRESS MD2 BRIZ-M R/B: PROPULSION SYSTEM FAILURE (+113),215
73,CASSIOPE R/B,39266,2013-09-29,16,PROPULSION,FALCON 9 SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[September 2013]  CASSIOPE R/B: PROPULSION SYSTEM FAILURE (+16),218
74,USA 109 (DMSP 5D-2 F13),23533,2015-02-03,236,BATTERY,Operational at event time,True,BATTERY FAILURE,[February 2015]  USA 109 (DMSP 5D-2 F13): BATTERY FAILURE (+236),224
75,NOAA 16,26536,2015-11-25,458,UNKNOWN,,True,UNKNOWN CAUSE,[November 2015]  NOAA 16: UNKNOWN CAUSE (+458),227
76,ASTRO H (HITOMI),41337,2016-03-26,13,PROPULSION,likely structural failure mechanism,True,PROPULSION SYSTEM FAILURE,[March 2016]  ASTRO H (HITOMI): PROPULSION SYSTEM FAILURE (+13),228
77,SENTINEL 1A,39634,2016-08-23,8,"COLLISION, ACCIDENTAL",Solar array impact by small MMOD,True,IMPACT WITH MICROMETEOROID OR ORBITAL DEBRIS,[August 2016]  SENTINEL 1A: IMPACT WITH MICROMETEOROID OR ORBITAL DEBRIS (+8),230
78,MICROSAT-R,43947,2019-03-27,400,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,True,DESTROYED BY ANTI-SATELLITE WEAPON,[March 2019]  MICROSAT-R: DESTROYED BY ANTI-SATELLITE WEAPON (+400),241
