SATELLITE NAME,INTERNATIONAL DESIGNATOR,US SATELLITE NUMBER,LAUNCH DATE,BREAKUP DATE,DEBRIS CATALOGED,DEBRIS ON-ORBIT,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,year_LAUNCH,year_BREAKUP,,,,,,,,
EKRAN 2,1977-092A,10365,20-Sep-77,23-Jun-78,5,5,35800,35785,0.1,BATTERY,,1977,1978,,,,,,,,
COSMOS 970,1977-121A,10531,21-Dec-77,21-Dec-77,70,64,1140,945,65.8,DELIBERATE,SELF-DESTRUCT,1977,1977,,,,,,,,
LANDSAT 3 R/B,1978-026C,10704,5-Mar-78,27-Jan-81,248,153,910,900,98.8,PROPULSION,DELTA SECOND STAGE,1978,1981,,,,,,,,
COSMOS 1030,1978-083A,11015,6-Sep-78,10-Oct-78,13,9,39760,665,62.8,DELIBERATE,SELF-DESTRUCT,1978,1978,,,,,,,,
NIMBUS 7 R/B,1978-098B,11081,24-Oct-78,26-Dec-81,2,1,955,935,99.3,PROPULSION,DELTA SECOND STAGE,1978,1981,,,,,,,,
COSMOS 1045 R/B,1978-100D,11087,26-Oct-78,9-May-88,42,32,1705,1685,82.6,PROPULSION,TSYKLON THIRD STAGE,1978,1988,,,,,,,,
P-78/SOLWIND,1979-017A,11278,24-Feb-79,13-Sep-85,285,0,545,515,97.6,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,1979,1985,,,,,,,,
COSMOS 1094,1979-033A,11333,18-Apr-79,17-Sep-79,1,0,405,380,65,UNKNOWN,COSMOS 699 CLASS,1979,1979,,,,,,,,
COSMOS 1109,1979-058A,11417,27-Jun-79,1-Feb-80,19,8,39425,960,63.3,DELIBERATE,SELF-DESTRUCT,1979,1980,,,,,,,,
COSMOS 1124,1979-077A,11509,28-Aug-79,9-Sep-79,5,5,39795,570,63,DELIBERATE,SELF-DESTRUCT,1979,1979,,,,,,,,
SATCOM 3,1979-101A,11635,7-Dec-79,11-Dec-79,21,21,35776,204,23.7,PROPULSION,AKM FAILURE,1979,1979,,,,,,,,
CAT R/B,1979-104B,11659,24-Dec-79,1-Apr-80,31,24,33140,180,17.9,PROPULSION,ARIANE 1 FINAL STAGE,1979,1980,,,,,,,,
COSMOS 1167,1980-021A,11729,14-Mar-80,15-Jul-81,12,0,450,355,65,UNKNOWN,COSMOS 699 CLASS,1980,1981,,,,,,,,
COSMOS 1174,1980-030A,11765,18-Apr-80,18-Apr-80,46,4,1660,380,66.1,DELIBERATE,SELF-DESTRUCT,1980,1980,,,,,,,,
COSMOS 1188,1980-050A,11844,14-Jun-80,26-Aug-80,8,6,39630,735,62.9,DELIBERATE,SELF-DESTRUCT,1980,1980,,,,,,,,
COSMOS 1191,1980-057A,11871,2-Jul-80,14-May-81,11,11,39255,1110,62.6,DELIBERATE,SELF-DESTRUCT,1980,1981,,,,,,,,
COSMOS 1217,1980-085A,12032,24-Oct-80,12-Feb-83,10,8,38830,1530,65.2,DELIBERATE,SELF-DESTRUCT,1980,1983,,,,,,,,
COSMOS 1220,1980-089A,12054,4-Nov-80,20-Jun-82,83,1,885,570,65,UNKNOWN,COSMOS 699 CLASS,1980,1982,,,,,,,,
COSMOS 1247,1981-016A,12303,19-Feb-81,20-Oct-81,7,6,39390,970,63,DELIBERATE,SELF-DESTRUCT,1981,1981,,,,,,,,
COSMOS 1260,1981-028A,12364,20-Mar-81,8-May-82,68,0,750,450,65,UNKNOWN,COSMOS 699 CLASS,1981,1982,,,,,,,,
COSMOS 1261,1981-031A,12376,31-Mar-81,1-Apr-81,10,10,39765,610,63,DELIBERATE,SELF-DESTRUCT,1981,1981,,,,,,,,
COSMOS 1275,1981-053A,12504,4-Jun-81,24-Jul-81,479,421,1015,960,83,BATTERY,,1981,1981,,,,,,,,
COSMOS 1278,1981-058A,12547,19-Jun-81,1-Dec-86,3,0,37690,2665,67.1,DELIBERATE,SELF-DESTRUCT,1981,1986,,,,,,,,
COSMOS 1285,1981-071A,12627,4-Aug-81,21-Nov-81,25,25,40100,720,63.1,DELIBERATE,SELF-DESTRUCT,1981,1981,,,,,,,,
COSMOS 1286,1981-072A,12631,4-Aug-81,29-Sep-82,2,0,325,300,65,UNKNOWN,COSMOS 699 CLASS,1981,1982,,,,,,,,
COSMOS 1305 R/B,1981-088F,12827,11-Sep-81,11-Sep-81,8,8,13795,605,62.8,PROPULSION,MOLNIYA FINAL STAGE,1981,1981,,,,,,,,
COSMOS 1306,1981-089A,12828,14-Sep-81,12-Jul-82,8,0,405,380,64.9,UNKNOWN,COSMOS 699 CLASS,1981,1982,,,,,,,,
COSMOS 1317,1981-108A,12933,31-Oct-81,28-Jan-84,11,11,39055,1315,62.8,DELIBERATE,SELF-DESTRUCT,1981,1984,,,,,,,,
METEOR 2-8,1982-025A,13113,25-Mar-82,29-May-99,53,53,960,935,82.5,UNKNOWN,,1982,1999,,,,,,,,
COSMOS 1348,1982-029A,13124,7-Apr-82,2-Sep-84,10,10,39200,1185,62.8,DELIBERATE,SELF-DESTRUCT,1982,1984,,,,,,,,
COSMOS 1355,1982-038A,13150,29-Apr-82,8-Aug-83,29,0,395,360,65.1,UNKNOWN,COSMOS 699 CLASS,1982,1983,,,,,,,,
COSMOS 1375,1982-055A,13259,6-Jun-82,21-Oct-85,61,58,1000,990,65.8,BATTERY,,1982,1985,,,,,,,,
COSMOS 1405,1982-088A,13508,4-Sep-82,20-Dec-83,32,0,340,310,65,UNKNOWN,COSMOS 699 CLASS,1982,1983,,,,,,,,
COSMOS 1423 R/B,1982-115E,13696,8-Dec-82,8-Dec-82,29,0,425,235,62.9,PROPULSION,MOLNIYA FINAL STAGE,1982,1982,,,,,,,,
ASTRON ULLAGE MOTOR,1983-020B,13902,23-Mar-83,3-Sep-84,1,0,1230,220,51.5,PROPULSION,PROTON-K BLOCK DM SOZ,1983,1984,,,,,,,,
NOAA 8,1983-022A,13923,28-Mar-83,30-Dec-85,5,1,830,805,98.6,BATTERY,,1983,1985,,,,,,,,
COSMOS 1456,1983-038A,14034,25-Apr-83,13-Aug-83,4,0,39630,730,63.3,DELIBERATE,SELF-DESTRUCT,1983,1983,,,,,,,,
COSMOS 1461,1983-044A,14064,7-May-83,11-Mar-85,187,14,890,570,65,UNKNOWN,COSMOS 699 CLASS,1983,1985,,,,,,,,
COSMOS 1481,1983-070A,14182,8-Jul-83,9-Jul-83,7,7,39225,625,62.9,DELIBERATE,SELF-DESTRUCT,1983,1983,,,,,,,,
COSMOS 1484,1983-075A,14207,24-Jul-83,18-Oct-93,49,0,595,550,97.5,UNKNOWN,,1983,1993,,,,,,,,
COSMOS 1519-21 ULLAGE MOTOR,1983-127H,14608,29-Dec-83,4-Feb-91,8,3,18805,340,51.9,PROPULSION,PROTON-K BLOCK DM SOZ,1983,1991,,,,,,,,
PALAPA B2 R/B,1984-011E,14693,3-Feb-84,6-Feb-84,3,0,285,275,28.5,PROPULSION,PAM-D UPPER STAGE,1984,1984,,,,,,,,
WESTAR 6 R/B,1984-011F,14694,3-Feb-84,3-Feb-84,14,0,310,305,28.5,PROPULSION,PAM-D UPPER STAGE,1984,1984,,,,,,,,
COSMOS 1588,1984-083A,15167,7-Aug-84,23-Feb-86,45,0,440,410,65,UNKNOWN,COSMOS 699 CLASS,1984,1986,,,,,,,,
